SKU,Descripcion,Familia,Linea,Fabricante,Precio_Lista,Moneda,Porcentaje_IVA,Porcentaje_IEPS
UE6229,CHOCOLATE CON TROZOS DE AVELLANA 250 G,TABLETAS CHOCOLATE,RITTER,RITTER,72.5,Pesos,0,8
UE6239,CHOCOLATE CON LECHE CON CORN FLAKES RITTER 250 G,TABLETAS CHOCOLATE,RITTER,RITTER,72.5,Pesos,0,8
436,TUTSI BOTA NAVIDE�A 26/420G,DULCES,TUTSI POP,TUTSI POP,72,Pesos,0,8
102131308 SP,BARRA DE ENERGIA SABOR VAINILLA 50 GRS,DEXTRO,DEXTRO,DEXTRO,71.2476,Pesos,0,8
102131309 SP,BARRA DE ENERGIA SABOR CHOCOLATE 50 GRS,DEXTRO,DEXTRO,DEXTRO,71.2476,Pesos,0,8
102231252 SP,BARRA DE PROTEINA SABOR CHOCOLATE 50 G,DEXTRO,DEXTRO,DEXTRO,71.2476,Pesos,0,8
102231253 SP,BARRA DE PROTEINA SABOR VAINILLA-COCO 50 G,DEXTRO,DEXTRO,DEXTRO,71.2476,Pesos,0,8
102231254 SP,BARRA DE PROTEINA SABOR GALLETAS CON CARAMELO 50 GRS,DEXTRO,DEXTRO,DEXTRO,71.2476,Pesos,0,8
038927-80 STO,CHOCOLATE LECHE  MERCI  200 G,NULL,STORCK,STORCK,70,Pesos,0,8
46110,"JELLY BELLY LOLLIPOPS BUBBLE GUM, GRAPE 1.5 OZ",GOMITAS,JELLY BELLY,JELLY BELLY,70,Pesos,0,8
GORRA-HA,GORRA SELECCION HARIBO,GOMITAS,HARIBO,HARIBO,70,Pesos,16,0
6743,HOJAS DE PARRA RELLENAS DE ARROZ Y HIERBAS 280g,PARILIA,PALIRIA,PALIRIA,69,Pesos,0,0
102131098,CARAMELOS DE DEXTROSA SURTIDOS (SPORT TABLETS),DEXTRO,DEXTRO,DEXTRO,68,Pesos,0,8
